Habitat Description	Technical Difficulty Creation
Coastal lagoons - Coastal lagoons	Medium
Coastal saltmarsh - Saltmarshes and saline reedbeds	High
Cropland - Arable field margins cultivated annually	Low
Cropland - Arable field margins game bird mix	Low
Cropland - Arable field margins pollen & nectar	Low
Cropland - Arable field margins tussocky	Low
Cropland - Cereal crops	Low
Cropland - Cereal crops other	Low
Cropland - Cereal crops winter stubble	Low
Cropland - Horticulture	Low
Cropland - Intensive orchards	Low
Cropland - Non-cereal crops	Low
Cropland - Temporary grass and clover leys	Low
Grassland - Traditional orchards	Low
Grassland - Bracken	Low
Grassland - Floodplain Wetland Mosaic (CFGM)	High
Grassland - Lowland calcareous grassland	High
Grassland - Lowland dry acid grassland	High
Grassland - Lowland meadows	High
Grassland - Modified grassland	Low
Grassland - Other lowland acid grassland	Low
Grassland - Other neutral grassland	Low
Grassland - Tall herb communities	High
Grassland - Upland acid grassland	Low
Grassland - Upland calcareous grassland	High
Grassland - Upland hay meadows	High
Heathland and shrub - Blackthorn scrub	Low
Heathland and shrub - Bramble scrub	Low
Heathland and shrub - Gorse scrub	Low
Heathland and shrub - Hawthorn scrub	Low
Heathland and shrub - Hazel scrub	Medium
Heathland and shrub - Lowland Heathland	High
Heathland and shrub - Mixed scrub	Low
Heathland and shrub - Mountain heaths and willow scrub	High
Heathland and shrub - Rhododendron scrub	Low
Heathland and shrub - Sea buckthorn scrub (Annex 1)	Medium
Heathland and shrub - Sea buckthorn scrub (other)	Low
Heathland and shrub - Upland Heathland	Medium
Intertidal sediment - Artificial littoral biogenic reefs	High
Intertidal sediment - Artificial littoral coarse sediment	Medium
Intertidal sediment - Artificial littoral mixed sediments	High
Intertidal sediment - Artificial littoral muddy sand	High
Intertidal sediment - Artificial littoral seagrass	High
Intertidal sediment - Features of littoral sediment	High
Intertidal sediment - Littoral biogenic reefs - Sabellaria	High
Intertidal sediment - Littoral coarse sediment	Medium
Intertidal sediment - Littoral mixed sediments	High
Intertidal sediment - Littoral mud	High
Intertidal sediment - Littoral seagrass	High
Intertidal sediment - Littoral seagrass on peat, clay or chalk	Very High
Lakes - Aquifer fed naturally fluctuating water bodies	Very High
Lakes - Ornamental lake or pond	Low
Lakes - High alkalinity lakes	High
Lakes - Low alkalinity lakes	High
Lakes - Marl Lakes	High
Lakes - Moderate alkalinity lakes	High
Lakes - Peat Lakes	High
Lakes - Ponds (Non- Priority Habitat)	Low
Lakes - Ponds (Priority Habitat)	Medium
Lakes - Reservoirs	Medium
Lakes - Temporary lakes, ponds and pools	Medium
Rocky shore - Features of littoral rock	High
Rocky shore - Features of littoral rock - on peat, clay or chalk	Very High
Rocky shore - High energy littoral rock	High
Rocky shore - High energy littoral rock - on peat, clay or chalk	Very High
Rocky shore - Low energy littoral rock	High
Rocky shore - Low energy littoral rock - on peat, clay or chalk	Very High
Rocky shore - Moderate energy littoral rock	High
Rocky shore - Moderate energy littoral rock - on peat, clay or chalk	Very High
Sparsely vegetated land - Calaminarian grasslands	Very High
Sparsely vegetated land - Coastal sand dunes	Very High
Sparsely vegetated land - Coastal vegetated shingle	Very High
Sparsely vegetated land - Inland rock outcrop and scree habitats	High
Sparsely vegetated land - Limestone pavement	Very High
Sparsely vegetated land - Maritime cliff and slopes	High
Sparsely vegetated land - Other inland rock and scree	Medium
Sparsely vegetated land - Ruderal/Ephemeral	Low
Urban - Vacant/derelict land/ bareground	Low
Urban - Allotments	Low
Urban - Artificial unvegetated, unsealed surface	Low
Urban - Bioswale	Medium
Urban - Brown roof	Medium
Urban - Built linear features	Low
Urban - Cemeteries and churchyards	Medium
Urban - Developed land; sealed surface	Low
Urban - Extensive green roof	Low
Urban - Facade-bound green wall	Medium
Urban - Ground based green wall	Medium
Urban - Ground level planters	Low
Urban - Intensive green roof	Medium
Urban - Introduced shrub	Low
Urban - Open Mosaic Habitats on Previously Developed Land	Medium
Urban - Rain garden	Low
Urban - Sand pit quarry or open cast mine	Medium
Urban - Urban Tree	Low
Urban - Sustainable urban drainage feature	Medium
Urban - Un-vegetated garden	Low
Urban - Vegetated garden	Low
Wetland - Blanket bog	Very High
Wetland - Depressions on Peat substrates (H7150)	Very High
Wetland - Fens (upland and lowland)	High
Wetland - Lowland raised bog	Very High
Wetland - Oceanic Valley Mire[1] (D2.1)	Very High
Wetland - Purple moor grass and rush pastures	High
Wetland - Reedbeds	Medium
Wetland - Transition mires and quaking bogs (H7140)	Very High
Woodland and forest - Felled	Low
Woodland and forest - Lowland beech and yew woodland	High
Woodland and forest - Lowland mixed deciduous woodland	High
Woodland and forest - Native pine woodlands	High
Woodland and forest - Other coniferous woodland	Low
Woodland and forest - Other Scot's Pine woodland	Medium
Woodland and forest - Other woodland; broadleaved	Low
Woodland and forest - Other woodland; mixed	Low
Woodland and forest - Upland birchwoods	Medium
Woodland and forest - Upland mixed ashwoods	High
Woodland and forest - Upland oakwood	High
Woodland and forest - Wet woodland	Medium
Woodland and forest - Wood-pasture and parkland	Very High
Intertidal sediment - Littoral sand	Medium
Intertidal sediment - Littoral muddy sand	High
Intertidal Hard Structures - Artificial hard structures	Medium
Intertidal Hard Structures - Artificial features of hard structures	Medium
Intertidal Hard Structures - Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI)	Medium
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds	High
Intertidal sediment - Littoral biogenic reefs - Mussels	High
Intertidal sediment - Artificial littoral mud	High
Intertidal sediment - Artificial littoral sand	Medium
