Habitat Description	Technical Difficulty Enhancement
Coastal lagoons - Coastal lagoons	Medium
Coastal saltmarsh - Saltmarshes and saline reedbeds	Medium
Cropland - Arable field margins cultivated annually	Low
Cropland - Arable field margins game bird mix	Low
Cropland - Arable field margins pollen & nectar	Low
Cropland - Arable field margins tussocky	Low
Cropland - Cereal crops	Low
Cropland - Cereal crops other	Low
Cropland - Cereal crops winter stubble	Low
Cropland - Horticulture	Low
Cropland - Intensive orchards	Low
Cropland - Non-cereal crops	Low
Cropland - Temporary grass and clover leys	Low
Grassland - Traditional orchards	Medium
Grassland - Bracken	Low
Grassland - Floodplain Wetland Mosaic (CFGM)	Medium
Grassland - Lowland calcareous grassland	High
Grassland - Lowland dry acid grassland	High
Grassland - Lowland meadows	Medium
Grassland - Modified grassland	Low
Grassland - Other lowland acid grassland	Low
Grassland - Other neutral grassland	Low
Grassland - Tall herb communities	High
Grassland - Upland acid grassland	Low
Grassland - Upland calcareous grassland	High
Grassland - Upland hay meadows	Medium
Heathland and shrub - Blackthorn scrub	Low
Heathland and shrub - Bramble scrub	Low
Heathland and shrub - Gorse scrub	Low
Heathland and shrub - Hawthorn scrub	Low
Heathland and shrub - Hazel scrub	Medium
Heathland and shrub - Lowland Heathland	Medium
Heathland and shrub - Mixed scrub	Low
Heathland and shrub - Mountain heaths and willow scrub	High
Heathland and shrub - Rhododendron scrub	Low
Heathland and shrub - Sea buckthorn scrub (Annex 1)	Low
Heathland and shrub - Sea buckthorn scrub (other)	Low
Heathland and shrub - Upland Heathland	Medium
Intertidal sediment - Artificial littoral biogenic reefs	Medium
Intertidal sediment - Artificial littoral coarse sediment	Medium
Intertidal sediment - Artificial littoral mixed sediments	Medium
Intertidal sediment - Artificial littoral muddy sand	Medium
Intertidal sediment - Artificial littoral seagrass	High
Intertidal sediment - Features of littoral sediment	Medium
Intertidal sediment - Littoral biogenic reefs - Sabellaria	Medium
Intertidal sediment - Littoral coarse sediment	Medium
Intertidal sediment - Littoral mixed sediments	Medium
Intertidal sediment - Littoral mud	Medium
Intertidal sediment - Littoral seagrass	High
Intertidal sediment - Littoral seagrass on peat, clay or chalk	High
Lakes - Aquifer fed naturally fluctuating water bodies	High
Lakes - Ornamental lake or pond	High
Lakes - High alkalinity lakes	High
Lakes - Low alkalinity lakes	Medium
Lakes - Marl Lakes	High
Lakes - Moderate alkalinity lakes	High
Lakes - Peat Lakes	High
Lakes - Ponds (Non- Priority Habitat)	Medium
Lakes - Ponds (Priority Habitat)	Medium
Lakes - Reservoirs	Medium
Lakes - Temporary lakes, ponds and pools	Medium
Rocky shore - Features of littoral rock	Medium
Rocky shore - Features of littoral rock - on peat, clay or chalk	Medium
Rocky shore - High energy littoral rock	Medium
Rocky shore - High energy littoral rock - on peat, clay or chalk	Medium
Rocky shore - Low energy littoral rock	Medium
Rocky shore - Low energy littoral rock - on peat, clay or chalk	Medium
Rocky shore - Moderate energy littoral rock	Medium
Rocky shore - Moderate energy littoral rock - on peat, clay or chalk	Medium
Sparsely vegetated land - Calaminarian grasslands	Medium
Sparsely vegetated land - Coastal sand dunes	Medium
Sparsely vegetated land - Coastal vegetated shingle	Medium
Sparsely vegetated land - Inland rock outcrop and scree habitats	Low
Sparsely vegetated land - Limestone pavement	Medium
Sparsely vegetated land - Maritime cliff and slopes	Medium
Sparsely vegetated land - Other inland rock and scree	Medium
Sparsely vegetated land - Ruderal/Ephemeral	Medium
Urban - Vacant/derelict land/ bareground	Low
Urban - Allotments	Low
Urban - Artificial unvegetated, unsealed surface	Low
Urban - Bioswale	Low
Urban - Brown roof	Low
Urban - Built linear features	Low
Urban - Cemeteries and churchyards	Low
Urban - Developed land; sealed surface	Medium
Urban - Extensive green roof	Low
Urban - Facade-bound green wall	Medium
Urban - Ground based green wall	Medium
Urban - Ground level planters	Low
Urban - Intensive green roof	Medium
Urban - Introduced shrub	Low
Urban - Open Mosaic Habitats on Previously Developed Land	Medium
Urban - Rain garden	Low
Urban - Sand pit quarry or open cast mine	Medium
Urban - Urban Tree	Low
Urban - Sustainable urban drainage feature	Medium
Urban - Un-vegetated garden	Low
Urban - Vegetated garden	Low
Wetland - Blanket bog	High
Wetland - Depressions on Peat substrates (H7150)	High
Wetland - Fens (upland and lowland)	High
Wetland - Lowland raised bog	High
Wetland - Oceanic Valley Mire[1] (D2.1)	High
Wetland - Purple moor grass and rush pastures	High
Wetland - Reedbeds	Medium
Wetland - Transition mires and quaking bogs (H7140)	High
Woodland and forest - Felled	Low
Woodland and forest - Lowland beech and yew woodland	High
Woodland and forest - Lowland mixed deciduous woodland	High
Woodland and forest - Native pine woodlands	High
Woodland and forest - Other coniferous woodland	Low
Woodland and forest - Other Scot's Pine woodland	Medium
Woodland and forest - Other woodland; broadleaved	Low
Woodland and forest - Other woodland; mixed	Low
Woodland and forest - Upland birchwoods	Medium
Woodland and forest - Upland mixed ashwoods	High
Woodland and forest - Upland oakwood	High
Woodland and forest - Wet woodland	Medium
Woodland and forest - Wood-pasture and parkland	High
Intertidal sediment - Littoral sand	Medium
Intertidal sediment - Littoral muddy sand	Medium
Intertidal Hard Structures - Artificial hard structures	Medium
Intertidal Hard Structures - Artificial features of hard structures	Medium
Intertidal Hard Structures - Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI)	Medium
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds	Medium
Intertidal sediment - Littoral biogenic reefs - Mussels	Medium
Intertidal sediment - Artificial littoral mud	Medium
Intertidal sediment - Artificial littoral sand	Medium
